Course Code,Course Name,Course Hours
CS 1200,First Year Seminar,1
CS 1210,Professional Development for Khoury Co-op,1
CS 1800and CS 1802,Discrete Structuresand Seminar for CS 1800,5
CS 2500and CS 2501,Fundamentals of Computer Science 1and Lab for CS 2500,5
CS 2510and CS 2511,Fundamentals of Computer Science 2and Lab for CS 2510,5
CS 3000,Algorithms and Data,4
CS 3500and CS 3501,Object-Oriented Designand Lab for CS 3500,5
CS 3650,Computer Systems,4
CS 3800,Theory of Computation,4
CS 4500,Software Development,4
DS 3000,Foundations of Data Science,4
MATH 1341,Calculus 1 for Science and Engineering,4
MATH 1365,Introduction to Mathematical Reasoning,4
BIOL 1111and BIOL 1112,General Biology 1and Lab for BIOL 1111,
CHEM 1101and CHEM 1102and CHEM 1103,General Chemistry for Health Sciencesand Lab for CHEM 1101and Recitation for CHEM 1101,
CHEM 1151and CHEM 1153,General Chemistry for Engineersand Recitation for CHEM 1151,
CHEM 1161and CHEM 1162,General Chemistry for Science Majorsand Lab for CHEM 1161,
ENVR 1200and ENVR 1201,Dynamic Earthand Lab for ENVR 1200,
ENVR 1202and ENVR 1203,History of Earth and Lifeand Interpreting Earth History,
MATH 1342,Calculus 2 for Science and Engineering,
MATH 2331,Linear Algebra,
MATH 3081,Probability and Statistics,
PHYS 1145and PHYS 1146,Physics for Life Sciences 1and Lab for PHYS 1145,
PHYS 1151and PHYS 1152and PHYS 1153,Physics for Engineering 1and Lab for PHYS 1151and Interactive Learning Seminar for PHYS 1151,
PHYS 1161and PHYS 1162,Physics 1and Lab for PHYS 1161,
ENGW 1111,First-Year Writing,4
ENGW 3302,Advanced Writing in the Technical Professions,4
CS 4100,Artificial Intelligence,4
DS 4400,Machine Learning and Data Mining 1,4
CS 4120,Natural Language Processing,
CS 4150,Game Artificial Intelligence,
CS 4180,Reinforcement Learning,
CS 4610,Robotic Science and Systems,
DS 4420,Machine Learning and Data Mining 2,
IS 4200,Information Retrieval,
PSYC 3466,Cognition,
CS 2800,Logic and Computation,4
CS 4805,Fundamentals of Complexity Theory,4
CS 3950and CS 4950,Introduction to Computer Science Researchand Computer Science Research Seminar,
CS 4805,Fundamentals of Complexity Theory,
CS 4810,Advanced Algorithms,
CS 4820,Computer-Aided Reasoning,
CS 4830,"System Specification, Verification, and Synthesis",
CY 4770,Cryptography,
IS 4300,Human Computer Interaction,4
IS 4800,Empirical Research Methods,4
CS 4120,Natural Language Processing,
CS 4520,Mobile Application Development,
CS 4550,Web Development,
DS 4200,Information Presentation and Visualization,
IS 2000,Principles of Information Science,
CS 2800,Logic and Computation,4
CS 4400,Programming Languages,4
CS 4700,Network Fundamentals,4
CS 3520,Programming in C++,
CS 4410,Compilers,
CS 4520,Mobile Application Development,
CS 4550,Web Development,
CS 4700,Network Fundamentals,
CS 4730,Distributed Systems,
CS 4820,Computer-Aided Reasoning,
CS 4830,"System Specification, Verification, and Synthesis",
CS 4700,Network Fundamentals,4
CY 3740,Systems Security,
CY 4740,Network Security,
CS 3520,Programming in C++,
CS 4300,Computer Graphics,
CS 4360,Non-Interactive Computer Graphics,
CS 4610,Robotic Science and Systems,
CS 4700,Network Fundamentals,
CS 4710,Mobile and Wireless Systems,
CS 4730,Distributed Systems,
CY 3740,Systems Security,
CY 4740,Network Security,
CY 4760,Security of Wireless and Mobile Systems,
